"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
8.561416040E-1	-1.032169983E-1	3.127099946E-2	-1.099810004E-1	1.540371533E-1
8.609871420E-1	-8.531899750E-2	3.197599947E-2	-8.753799647E-2	1.263514808E-1
8.658327410E-1	-6.748899817E-2	3.241299838E-2	-6.083599851E-2	9.646961207E-2
8.706782810E-1	-5.054299906E-2	3.257000074E-2	-3.328200057E-2	6.872475001E-2
8.755240490E-1	-3.615700081E-2	3.154699877E-2	-7.215000223E-3	4.852420084E-2
8.803695990E-1	-2.439199947E-2	2.900500037E-2	1.714799926E-2	4.159703791E-2
8.852151370E-1	-1.702300087E-2	2.620499954E-2	3.849099949E-2	4.957864057E-2
8.900606760E-1	-1.176699996E-2	2.211200073E-2	5.594899878E-2	6.130002715E-2
8.949063030E-1	-8.136999793E-3	1.717899926E-2	7.240399718E-2	7.485764884E-2
8.997518440E-1	-5.295999814E-3	1.316899993E-2	8.665499836E-2	8.780978826E-2
9.045976110E-1	-1.235999982E-3	1.078999974E-2	9.863100201E-2	9.922714522E-2
9.094431670E-1	3.990000114E-3	9.078999981E-3	1.088489965E-1	1.092998279E-1
9.142887050E-1	9.321999736E-3	8.987000212E-3	1.170869991E-1	1.178008116E-1
9.191342430E-1	1.224599965E-2	8.275000378E-3	1.220820025E-1	1.229733933E-1
9.239798710E-1	1.579800062E-2	8.790000342E-3	1.240350008E-1	1.253456116E-1
9.288254110E-1	1.876799949E-2	9.905000217E-3	1.232350022E-1	1.250488408E-1
9.336711790E-1	2.133500017E-2	1.066999976E-2	1.187629998E-1	1.211349712E-1
9.385167190E-1	2.434699982E-2	1.262100041E-2	1.120579988E-1	1.153649043E-1
9.433622580E-1	2.535099909E-2	1.399100013E-2	1.026069969E-1	1.066143379E-1
9.482078710E-1	2.443099953E-2	1.329999976E-2	9.217300266E-2	9.627889775E-2
9.530534160E-1	2.133199945E-2	1.159800030E-2	8.063399792E-2	8.421050666E-2
9.578989550E-1	1.566099934E-2	8.958999999E-3	6.763599813E-2	7.000113445E-2
9.627447120E-1	9.208999574E-3	5.251999944E-3	5.295899883E-2	5.400967259E-2
9.675902530E-1	3.089000005E-3	1.967000077E-3	3.745099902E-2	3.762962049E-2
9.724357910E-1	-1.294999965E-3	-3.399999987E-4	2.146999910E-2	2.151170580E-2
9.772813740E-1	-3.269999987E-3	-1.868000021E-3	6.513000000E-3	7.523396374E-3
9.821271440E-1	-3.957000095E-3	-2.516000066E-3	-5.898999982E-3	7.535668973E-3
9.869724530E-1	-5.656000227E-3	-2.841999987E-3	-1.569999941E-2	1.692800295E-2
9.918182210E-1	-6.694999989E-3	-2.274000086E-3	-2.437300049E-2	2.537788908E-2
9.966637610E-1	-8.484999649E-3	-2.010999946E-3	-3.201099858E-2	3.317745273E-2
1.001509300E0	-1.049099956E-2	-1.225000015E-3	-3.812199831E-2	3.955816543E-2
1.006354908E0	-1.228700019E-2	7.420000038E-4	-4.230999947E-2	4.406423712E-2
1.011200677E0	-1.174500026E-2	3.849999979E-3	-4.470200092E-2	4.637926710E-2
1.016045987E0	-1.067299955E-2	7.166000083E-3	-4.623199999E-2	4.798606360E-2
1.020891735E0	-8.218999952E-3	9.627000429E-3	-4.745600000E-2	4.911520165E-2
1.025737276E0	-5.107000005E-3	1.236199960E-2	-4.881900176E-2	5.061813328E-2
1.030582814E0	-4.459999909E-4	1.359300036E-2	-5.029200017E-2	5.209850148E-2
1.035428428E0	6.219000090E-3	1.534300018E-2	-5.096099898E-2	5.358271208E-2
1.040274197E0	1.525400020E-2	1.789299957E-2	-5.187800154E-2	5.695762460E-2
1.045119737E0	2.842099965E-2	2.069899999E-2	-5.254700035E-2	6.322490860E-2
1.049965266E0	4.444500059E-2	2.377399988E-2	-5.270000175E-2	7.292359928E-2
1.054810804E0	6.186100096E-2	2.668000013E-2	-5.243900046E-2	8.537244646E-2
1.059656418E0	7.917799801E-2	2.913399972E-2	-5.306100100E-2	9.966651963E-2
1.064501954E0	9.590400010E-2	3.135199845E-2	-5.336600170E-2	1.141422585E-1
1.069347493E0	1.113929972E-1	3.389199823E-2	-5.367600173E-2	1.282114680E-1
1.074193260E0	1.233360022E-1	3.496700153E-2	-5.366700143E-2	1.389770042E-1
1.079038819E0	1.338489950E-1	3.595399857E-2	-5.251000077E-2	1.482077719E-1
1.083884358E0	1.428979933E-1	3.629700094E-2	-5.190499872E-2	1.563055906E-1
1.088729971E0	1.512860060E-1	3.631599993E-2	-5.078199878E-2	1.636615986E-1
1.093575517E0	1.587630063E-1	3.690600023E-2	-4.879799858E-2	1.701440263E-1
1.098421055E0	1.638499945E-1	3.693100065E-2	-4.599799961E-2	1.741451564E-1
1.103266826E0	1.672810018E-1	3.675900027E-2	-4.216099903E-2	1.763851113E-1
1.108112367E0	1.694519967E-1	3.649400175E-2	-3.724100068E-2	1.772926492E-1
1.112957905E0	1.697839946E-1	3.545200080E-2	-3.030299954E-2	1.760730557E-1
1.117803529E0	1.682620049E-1	3.289499879E-2	-2.181600034E-2	1.728297460E-1
1.122649298E0	1.641709954E-1	3.059300035E-2	-1.228199992E-2	1.674481857E-1
1.127494608E0	1.582159996E-1	2.881599963E-2	-2.547000069E-3	1.608388994E-1
1.132340375E0	1.523669958E-1	2.752299979E-2	6.262000185E-3	1.549594449E-1
1.137185915E0	1.458369941E-1	2.604000084E-2	1.452300046E-2	1.488537135E-1
1.142031524E0	1.409309953E-1	2.530100010E-2	2.221699990E-2	1.448974849E-1
1.146877064E0	1.368149966E-1	2.368799970E-2	2.862700075E-2	1.417708355E-1
1.151722603E0	1.340339929E-1	2.080200054E-2	3.305400163E-2	1.396080281E-1
1.156568370E0	1.298930049E-1	1.734399982E-2	3.557299823E-2	1.357882368E-1
1.161413910E0	1.268350035E-1	1.393899973E-2	3.720600158E-2	1.329123786E-1
1.166259449E0	1.237509996E-1	1.089600008E-2	3.914999962E-2	1.302526590E-1
1.171105052E0	1.205810010E-1	8.268999867E-3	3.993900120E-2	1.272920971E-1
1.175950593E0	1.160660014E-1	5.977000110E-3	4.044299945E-2	1.230555866E-1
1.180796360E0	1.091340035E-1	3.503999906E-3	3.976099938E-2	1.162043279E-1
1.185641886E0	1.004600003E-1	8.880000096E-4	3.787500039E-2	1.073662697E-1
1.190487425E0	8.911500126E-2	-2.353999997E-3	3.528000042E-2	9.587337063E-2
